(-0.731, 0.695, 0.528, -0.49, -0.009, -0.101, 0.303, 0.577); 2.101; -0.01303; 2.08797
(-0.812, -0.943, 0.672, -0.134, 0.525, -0.996, -0.109, 0.443); 1.47; 0.12686; 1.59686
(-0.542, 0.891, 0.803, -0.939, -0.949, 0.083, 0.878, -0.238); 1.159; -0.18049; 0.97851
(-0.567, -0.156, -0.942, -0.557, -0.124, -0.008, -0.534, -0.538); -2.555; 0.62484; -1.93016
(-0.562, -0.081, -0.42, -0.957, 0.675, 0.113, 0.285, -0.628); 0.031; -0.66525; -0.63425
(0.985, 0.72, -0.758, -0.335, 0.443, 0.422, 0.873, -0.156); 4.92; -0.50685; 4.41315
(0.66, 0.341, -0.393, 0.175, 0.765, 0.692, 0.011, 0.178); 3.363; -0.51982; 2.84318
(-0.931, -0.515, 0.595, -0.171, -0.654, 0.098, 0.406, 0.349); -0.553; 0.89217; 0.33917
(-0.251, -0.122, 0.017, 0.557, 0.042, -0.213, -0.021, -0.941); 0.047; -0.16244; -0.11544
(-0.913, 0.407, 0.966, 0.186, -0.213, -0.659, 0.004, 0.964); 0.563; -0.7289; -0.1659
(0.541, 0.079, 0.721, -0.536, 0.028, 0.905, 0.156, -0.082); -0.664; 1.26097; 0.59697
(-0.461, 0.096, 0.914, -0.989, 0.567, 0.641, 0.772, 0.481); -2.784; -1.8167; -4.6007
(0.618, 0.037, 0.123, -0.148, -0.888, 0.74, 0.14, -0.6); 0.846; 0.27218; 1.11818
(0.009, -0.03, -0.286, -0.308, 0.077, 0.247, 0.225, -0.084); 1.111; -0.44914; 0.66186
(-0.944, -0.541, -0.646, 0.169, 0.722, 0.597, 0.594, 0.633); 1.677; -0.78348; 0.89352
(-0.489, 0.683, 0.346, -0.834, -0.967, -0.971, 0.511, -0.501); 2.26; -0.66665; 1.59335
(-0.781, 0.25, -0.311, -0.861, -0.681, 0.055, -0.664, -0.454); -2.012; 0.24833; -1.76367
(0.423, -0.091, -0.356, -0.052, -0.953, -0.227, -0.158, -0.624); -0.927; 0.12174; -0.80526
(-0.782, 0.8, 0.02, -0.582, 0.211, 0.634, -0.958, -0.964); -0.985; 1.03158; 0.04658
(-0.707, 0.438, -0.68, 0.409, 0.356, 0.089, -0.559, 0.951); 0.97; 0.40608; 1.37608
(0.596, 0.033, -0.554, 0.297, -0.21, 0.152, -0.358, 0.262); 0.849; 0.89707; 1.74607
(-0.882, -0.403, 0.936, 0.751, -0.387, 0.717, -0.379, 0.879); 7.06; 0.16167; 7.22167
(0.488, -0.168, -0.495, -0.983, 0.757, -0.924, 0.639, 0.924); -3.397; -0.07434; -3.47134
(0.141, -0.657, 0.736, 0.948, 0.408, 0.018, -0.244, -0.306); 2.093; -0.34759; 1.74541
(-0.588, 0.348, -0.134, -0.612, -0.791, 0.332, -0.408, -0.0); -0.322; -0.01011; -0.33211
(-0.349, 0.743, 0.799, -0.964, -0.598, -0.345, 0.974, 0.565); 4.832; -0.67292; 4.15908
(-0.322, -0.574, 0.349, 0.675, 0.864, -0.312, 0.765, 0.374); 2.53; 0.51068; 3.04068
(-0.031, 0.971, -0.531, 0.451, -0.831, -0.661, 0.822, -0.574); 2.212; 0.79869; 3.01069
(0.518, 0.2, 0.682, -0.264, -0.319, -0.418, 0.735, 0.208); 3.084; -0.30544; 2.77856
(0.909, 0.775, -0.729, 0.102, -0.791, -0.922, -0.854, 0.732); -0.355; -0.16983; -0.52483
(0.576, 0.657, -0.318, 0.23, 0.564, -0.244, 0.142, -0.553); 2.699; 1.21841; 3.91741
(-0.837, -0.467, 0.782, 0.129, 0.85, -0.084, -0.446, 0.574); 2.175; 0.38144; 2.55644
(0.656, -0.975, 0.341, -0.817, -0.77, 0.77, -0.92, -0.521); -2.525; -0.35008; -2.87508
(0.976, -0.158, -0.769, -0.665, -0.517, 0.488, -0.794, 0.822); 3.035; 0.2894; 3.3244
(-0.243, 0.941, 0.818, -0.412, -0.493, -0.046, -0.8, 0.304); 1.459; -1.40706; 0.05194
(-0.921, -0.979, 0.965, -0.409, 0.193, -0.1, -0.373, -0.874); -0.605; -0.20455; -0.80955
(0.827, 0.94, 0.94, -0.777, -0.57, 0.236, 0.96, 0.086); 0.952; -0.12449; 0.82751
(0.376, 0.324, -0.482, 0.083, -0.385, -0.507, -0.837, -0.438); -0.801; 1.44127; 0.64027
(0.967, -0.104, 0.304, 0.287, 0.881, -0.219, -0.386, -0.346); 1.945; 0.18592; 2.13092
(-0.367, 0.694, 0.787, -0.394, -0.331, 0.088, 0.158, 0.192); 1.744; -0.54023; 1.20377
(-0.51, -0.959, -0.512, -0.855, 0.102, -0.858, -0.85, 0.271); -6.884; 0.92167; -5.96233
(-0.418, 0.584, -0.013, 0.725, -0.692, 0.003, 0.59, -0.846); 1.242; 0.44132; 1.68332
(0.898, -0.654, 0.552, 0.97, 0.643, -0.36, -0.786, 0.029); -0.452; -0.20355; -0.65555
(0.839, -0.413, 0.788, -0.717, 0.821, -0.936, -0.368, 0.806); 6.322; 0.01924; 6.34124
(0.608, 0.814, 0.681, 0.492, 0.379, -0.644, -0.135, -0.684); 0.667; -0.38525; 0.28175
(0.43, 0.336, -0.495, -0.871, 0.927, 0.617, 0.099, 0.083); 4.981; -0.05091; 4.93009
(0.703, -0.093, -0.209, -0.323, -0.484, -0.951, 0.293, -0.167); -0.627; -0.28473; -0.91173
(0.141, -0.875, -0.29, -0.723, -0.75, -0.482, 0.658, -0.204); -2.403; 0.92041; -1.48259
(-0.198, 0.225, -0.533, -0.985, 0.057, 0.002, 0.298, -0.123); -0.16; 0.85399; 0.69399
(0.373, 0.463, -0.523, -0.01, -0.042, -0.55, -0.176, 0.121); 0.595; -0.54371; 0.05129
(0.814, 0.835, -0.45, 0.293, -0.904, -0.857, 0.023, 0.755); 1.417; -0.28128; 1.13572
(-0.681, 0.532, 0.766, -0.376, 0.385, 0.698, -0.257, 0.403); 0.054; -1.09464; -1.04064
(0.473, 0.189, 0.713, 0.793, 0.92, 0.142, -0.647, -0.499); 3.923; -0.54764; 3.37536
(-0.565, 0.139, 0.516, -0.896, 0.363, 0.434, -0.304, 0.03); -1.303; -0.24424; -1.54724
(-0.67, 0.46, -0.919, 0.962, 0.616, 0.257, -0.465, 0.826); -0.424; -0.04919; -0.47319
(0.919, -0.722, 0.552, 0.684, 0.319, 0.401, -0.11, 0.849); 4.998; -0.73523; 4.26277
(0.942, -0.235, 0.605, -0.134, -0.67, -0.349, -0.747, 0.818); 1.873; 1.21212; 3.08512
(0.919, -0.762, 0.201, -0.184, -0.764, -0.409, -0.504, 0.499); 1.411; -1.183; 0.228
(-0.992, -0.62, -0.122, -0.958, 0.255, 0.211, 0.671, -0.587); -0.341; -0.47112; -0.81212
