-0,5	-1	-1	-1	0,93
-0,5	-1	-1	0	0,48
-0,5	-1	-1	1	0,21
-0,5	-1	0	-1	-0,04
-0,5	-1	0	0	-0,46
-0,5	-1	0	1	-1,12
-0,5	-1	1	-1	-0,97
-0,5	-1	1	0	-1,37
-0,5	-1	1	1	-2,12
-1	0	-1	-1	-0,04
-1	0	-1	0	-0,02
-1	0	-1	1	-0,20
-1	0	0	-1	-1,00
-1	0	0	0	-0,94
-1	0	0	1	-0,83
-1	0	0,5	-1	-1,54
-1	0	0,5	0	-1,68
-1	0	0,5	1	-1,56
-1	1	-1	-1	-0,10
-1	1	-1	0	1,03
-1	1	-1	1	1,86
-1	1	0	-1	-0,87
-1	1	0	0	0,04
-1	1	0	1	0,87
-1	1	1	-1	-1,83
-1	1	1	0	-0,97
-1	1	1	1	0,12
0	-1	-1	-1	0,95
0	-1	-1	0	0,71
0	-1	-1	1	1,07
0	-1	0	-1	0,17
0	-1	0	0	0,02
0	-1	0	1	-0,19
0	-1	1	-1	-1,05
0	-1	1	0	-1,12
0	-1	1	1	-0,95
0	0	-1	-1	1,82
0	0	-1	0	1,81
0	0	-1	1	2,06
0	0	0	-1	0,96
0	0	0	0	1,08
0	0	0	1	1,14
0	0	1	-1	-0,08
0	0	1	0	0,25
0	0	1	1	0,09
0	0,5	-1	-1	2,55
0	0,5	-1	0	2,54
0	0,5	-1	1	2,61
0	0,5	0	-1	1,40
0	0,5	0	0	1,46
0	0,5	0	1	1,49
0	0,5	1	-1	0,37
0	0,5	1	0	0,44
0	0,5	1	1	0,35
1	-1	-1	-1	-1,96
1	-1	-1	0	-0,98
1	-1	-1	1	-0,14
1	-1	0	-1	-2,98
1	-1	0	0	-2,00
1	-1	0	1	-1,24
1	-1	0,5	-1	-3,51
1	-1	0,5	0	-2,35
1	-1	0,5	1	-1,43
1	0	-1	-1	-0,05
1	0	-1	0	-0,05
1	0	-1	1	-0,17
1	0	0	-1	-1,04
1	0	0	0	-0,82
1	0	0	1	-1,22
1	0	1	-1	-2,04
1	0	1	0	-2,12
1	0	1	1	-1,85
1	1	-1	-1	1,88
1	1	-1	0	0,97
1	1	-1	1	-0,01
1	1	0	-1	1,05
1	1	0	0	-0,01
1	1	0	1	-0,99
1	1	0,5	-1	0,58
1	1	0,5	0	-0,70
1	1	0,5	1	-1,48
0	0	0	0	1,02
0	0	0	0	0,97
0	0	0	0	0,81
0	0	0	0	1,12
0	0	0	0	0,99
0	0	0	0	1,05
